".model",".type","ME","RMSE","MAE","MPE","MAPE","MASE","RMSSE","ACF1"
"tslm","Test",-5.26600736596466,7.24348689284779,5.45807054977371,-28.8701009554675,29.5805153932281,NA,NA,0.337289686491035
"mean","Test",-4.50550770912767,7.07487634102703,6.24723916878184,-29.1748542698436,34.753746721215,NA,NA,0.944758015402158
"naive","Test",-3.59653971172167,6.53371054009941,5.69943802415803,-24.6123690211789,31.3981284991677,NA,NA,0.944758015402158
"snaive","Test",-5.47100657939506,7.81052431289966,6.87094160612356,-33.982264444527,38.4436696059684,NA,NA,0.914515965527125
"drift","Test",-4.53510101047143,6.91656027836503,5.99219841520226,-29.0832972998672,33.7320658823333,NA,NA,0.941006778484684
"arima","Test",0.0161210340311647,5.72715916791661,4.55380435859099,-6.2236911876616,21.7818459811033,NA,NA,0.948534991956626
"arima_no_cons","Test",0.600954214259735,6.04891040906534,4.65321041131341,-3.48158969945292,21.6085234164828,NA,NA,0.95195067532832
"ewma","Test",-3.8024640632532,6.64928631329312,5.82148436038181,-25.6459882672741,32.1501608211261,NA,NA,0.944758015402158
"dynamic_arima","Test",-5.43747620231002,6.58393013144992,5.80748607509959,-31.4447690137946,32.5781699639294,NA,NA,0.914737893433546
"dynamic_arima_diff0","Test",-4.83960969295592,6.12323652568338,5.41471808233258,-28.4962589402802,30.2863091553485,NA,NA,0.917032287044883
"nnar","Test",-1.47500644184766,4.46089638114154,3.65821989432926,-12.0846316307394,19.8226657575205,NA,NA,0.920335583740597
"prophet","Test",-1.19689100237503,2.75764403973232,1.97926816513667,-6.31824626092924,10.3492750864193,NA,NA,0.839117691808448
